case,input_count,output_count,input_order_changed,output_order_changed,original_input_sample,shuffled_input_sample,original_output_sample,shuffled_output_sample,output_blif
tc_public_19,512,11,True,True,n0 n36 n37 n39 n41 n43 n45 n47,n361 n465 n303 n271 n103 n989 n985 n377,n2586 n3606 n4626 n5646 n6666 n7686 n8706 n9726,n11256 n3606 n4626 n8706 n9726 n10746 n2586 n7686,data\tc_public_portorder_r7b_stress\tc_public_19\input.blif
tc_public_2,6,5,True,True,I0 I1 I2 I3 I4 I5,I3 I5 I0 I4 I1 I2,O0 O1 O2 O3 O4,O2 O0 O4 O3 O1,data\tc_public_portorder_r7b_stress\tc_public_2\input.blif
tc_public_20,532,11,True,True,n0 n36 n37 n39 n41 n43 n45 n47,n181 n301 n905 n969 n413 n759 n71 n765,n2686 n3746 n4806 n5866 n6926 n7986 n9046 n10106,n6926 n11166 n12226 n9046 n10106 n11696 n5866 n2686,data\tc_public_portorder_r7b_stress\tc_public_20\input.blif
tc_public_21,534,11,True,True,n0 n36 n37 n39 n41 n43 n45 n47,n383 n797 n36 n199 n893 n591 n615 n139,n2696 n3760 n4824 n5888 n6952 n8016 n9080 n10144,n11208 n11740 n12272 n6952 n2696 n9080 n5888 n8016,data\tc_public_portorder_r7b_stress\tc_public_21\input.blif
tc_public_22,1024,12,True,True,n0 n39 n40 n42 n44 n46 n48 n50,n456 n940 n468 n1872 n1798 n254 n294 n1592,n5149 n7193 n9237 n11281 n13325 n15369 n17413 n19457,n21501 n23545 n13325 n15369 n11281 n25589 n19457 n24567,data\tc_public_portorder_r7b_stress\tc_public_22\input.blif
tc_public_23,520,2,True,False,n4 n12 n26 n52 n102 n200 n264 n394,n1775 n862 n1621 n756 n828 n604 n570 n738,n1290 n2057,n1290 n2057,data\tc_public_portorder_r7b_stress\tc_public_23\input.blif
tc_public_24,104,9,True,True,n7 n9 n13 n24 n25 n44 n46 n48,n124 n76 n180 n302 n284 n160 n256 n186,n75 n107 n139 n171 n203 n235 n267 n299,n299 n267 n203 n171 n331 n235 n107 n139,data\tc_public_portorder_r7b_stress\tc_public_24\input.blif
tc_public_25,15,9,True,True,n5 n11 n19 n22 n24 n26 n32 n34,n62 n26 n38 n88 n74 n52 n34 n32,n33 n37 n43 n51 n61 n73 n87 n103,n37 n103 n33 n51 n87 n43 n61 n121,data\tc_public_portorder_r7b_stress\tc_public_25\input.blif
tc_public_26,33,32,True,True,n5 n11 n21 n37 n38 n70 n72 n76,n112 n11 n100 n670 n622 n252 n5 n310,n71 n75 n81 n89 n99 n111 n125 n141,n279 n449 n99 n251 n201 n159 n309 n669,data\tc_public_portorder_r7b_stress\tc_public_26\input.blif
tc_public_27,189,16,True,True,n11 n17 n25 n33 n44 n57 n59 n61,n338 n478 n295 n358 n44 n460 n17 n646,n82 n119 n156 n193 n234 n275 n316 n357,n357 n82 n119 n597 n693 n193 n501 n453,data\tc_public_portorder_r7b_stress\tc_public_27\input.blif
tc_public_28,51,16,True,True,n11 n17 n25 n33 n44 n46 n48 n50,n106 n68 n58 n104 n72 n33 n46 n124,n93 n141 n174 n207 n240 n273 n306 n339,n603 n306 n570 n174 n537 n93 n339 n438,data\tc_public_portorder_r7b_stress\tc_public_28\input.blif
tc_public_29,30,16,True,True,n0 n1 n3 n4 n9 n14 n16 n22,n34 n114 n130 n14 n32 n4 n122 n66,n31 n39 n47 n55 n63 n71 n76 n81,n142 n63 n81 n55 n71 n150 n126 n76,data\tc_public_portorder_r7b_stress\tc_public_29\input.blif
tc_public_3,10,8,True,True,I0 I1 I2 I3 I4 I5 I6 I7,I3 I9 I8 I0 I5 I2 I6 I4,O0 O1 O2 O3 O4 O5 O6 O7,O6 O0 O7 O4 O5 O1 O3 O2,data\tc_public_portorder_r7b_stress\tc_public_3\input.blif
tc_public_30,12,12,True,True,n9338 n9514 n9858 n9878 n10569 n11083 n11086 n11089,n11130 n11083 n11086 n11107 n9338 n11173 n9514 n11089,n1244 n2715 n3957 n5108 n6198 n7257 n8303 n9336,n6198 n8303 n5108 n2715 n1244 n12623 n13307 n14162,data\tc_public_portorder_r7b_stress\tc_public_30\input.blif
tc_public_4,10,8,True,True,I0 I1 I2 I3 I4 I5 I6 I7,I8 I1 I5 I9 I0 I4 I3 I6,O0 O1 O2 O3 O4 O5 O6 O7,O6 O3 O7 O4 O5 O0 O1 O2,data\tc_public_portorder_r7b_stress\tc_public_4\input.blif
tc_public_5,66,64,True,True,n0 n1 n3 n131 n132 n133 n134 n135,n176 n134 n180 n162 n183 n173 n174 n150,n4 n6 n8 n10 n12 n14 n16 n18,n76 n26 n16 n124 n10 n12 n130 n28,data\tc_public_portorder_r7b_stress\tc_public_5\input.blif
tc_public_6,67,32,True,True,n1 n4 n5 n6 n7 n133 n134 n135,n161 n154 n193 n176 n152 n186 n146 n158,n8 n11 n14 n17 n20 n23 n26 n29,n23 n92 n83 n41 n17 n89 n32 n11,data\tc_public_portorder_r7b_stress\tc_public_6\input.blif
tc_public_7,130,63,True,True,n0 n1 n2 n4 n130 n131 n132 n133,n177 n204 n197 n235 n211 n160 n194 n143,n5 n7 n9 n11 n13 n15 n17 n19,n83 n85 n121 n53 n63 n43 n77 n13,data\tc_public_portorder_r7b_stress\tc_public_7\input.blif
tc_public_8,67,96,True,True,n0 n1 n6 n7 n8 n134 n135 n136,n189 n183 n181 n188 n159 n160 n149 n173,n4 n5 n9 n11 n13 n15 n17 n19,n113 n11 n110 n79 n130 n57 n133 n63,data\tc_public_portorder_r7b_stress\tc_public_8\input.blif
tc_public_9,67,32,True,True,n0 n3 n4 n5 n6 n101 n102 n103,n153 n154 n131 n107 n149 n150 n110 n104,n7 n9 n11 n13 n15 n17 n19 n21,n19 n31 n55 n35 n23 n69 n47 n37,data\tc_public_portorder_r7b_stress\tc_public_9\input.blif
