case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5
tc_public_20,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_20\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_20\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_20\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_20\work\v5\work\variants\inputs\baseline.blif,5445,20,5667,20,5445,20,5742,20,0,0,True,50.293856,12.764705,1.046519,27.434,results_candidate\r28_gated_r27_full_public\tc_public_20\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_21,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_21\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_21\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_21\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_21\work\v5\work\variants\inputs\baseline.blif,5448,20,5688,20,5448,20,5763,20,0,0,True,51.71962,12.813025,1.064236,27.383,results_candidate\r28_gated_r27_full_public\tc_public_21\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_22,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_22\input.blif,r9_dc2_fraig_cleanup,r9_dc2_fraig_cleanup@both,large_smallpo_fraig_cleanup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_22\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_22\work\v5\work\variants\both\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_22\work\v5\work\variants\both\baseline.blif,10740,20,11274,20,10740,20,11367,20,0,0,True,85.278524,23.359635,1.217108,34.043,results_candidate\r28_gated_r27_full_public\tc_public_22\work\v5\work\logs,both,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_23,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_23\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_medium_tiny_po,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_23\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_23\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_23\work\v5\work\variants\clean\baseline.blif,1458,14,1530,16,1458,14,1530,263,0,0,True,27.974886,1.600025,0.962649,20.543,results_candidate\r28_gated_r27_full_public\tc_public_23\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_24,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_24\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_24\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_24\work\v5\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.827972,0.922072,0.91274,12.188,results_candidate\r28_gated_r27_full_public\tc_public_24\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_25,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_25\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_25\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_25\work\v5\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.789931,0.871395,0.908935,9.207,results_candidate\r28_gated_r27_full_public\tc_public_25\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_26,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_medium_small_pi_medium_po_shared,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_26\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_26\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_26\work\v5\work\variants\inputs\baseline.blif,450,10,1064,10,449,10,1064,32,0,0,True,2.04482,1.549456,1.169138,23.961,results_candidate\r28_gated_r27_full_public\tc_public_26\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-1,0
tc_public_27,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_27\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_27\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_27\work\v5\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.948889,0.991094,0.928654,12.375,results_candidate\r28_gated_r27_full_public\tc_public_27\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_28,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_28\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@clean,r25_dsd_small_small_pi_small_po_shared_dup,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_28\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_28\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_28\work\v5\work\variants\clean\baseline.blif,258,8,520,7,258,8,576,20,0,0,True,0.870149,1.041502,0.935983,21.098,results_candidate\r28_gated_r27_full_public\tc_public_28\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_29,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_29\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_small_small_pi_small_po,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_29\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_29\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_29\work\v5\work\variants\inputs\baseline.blif,97,6,119,6,97,6,121,8,0,0,True,5.22607,0.889408,0.902742,21.199,results_candidate\r28_gated_r27_full_public\tc_public_29\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_3,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_3\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_3\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_3\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_3\work\v5\work\variants\clean\baseline.blif,94,8,150,11,94,8,208,13,0,0,True,12.292148,1.466871,0.906012,25.969,results_candidate\r28_gated_r27_full_public\tc_public_3\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_30,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_large_tiny_pi_small_po_shared,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_30\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_30\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_30\work\v5\work\variants\inputs\baseline.blif,403,13,9443,22,392,12,14139,1036,0,0,True,2.591597,75.296868,1.095822,37.98,results_candidate\r28_gated_r27_full_public\tc_public_30\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-11,-1
tc_public_4,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_4\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_4\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_4\work\v5\work\variants\inputs\baseline.blif,61,8,118,9,61,8,145,12,0,0,True,6.406126,1.499818,0.886697,24.223,results_candidate\r28_gated_r27_full_public\tc_public_4\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_5,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_5\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_5\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_5\work\v5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.798232,0.888053,0.903937,9.473,results_candidate\r28_gated_r27_full_public\tc_public_5\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_6,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_6\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_6\work\v5\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.666742,1.45679,0.925695,11.648,results_candidate\r28_gated_r27_full_public\tc_public_6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_7,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_7\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_high_sop_low_two,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_7\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_7\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_7\work\v5\work\variants\clean\baseline.blif,191,3,252,3,191,3,252,3,0,0,True,4.138498,1.48948,0.915667,20.945,results_candidate\r28_gated_r27_full_public\tc_public_7\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_8,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_8\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_8\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_8\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_8\work\v5\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.672583,1.500858,0.908749,11.699,results_candidate\r28_gated_r27_full_public\tc_public_8\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_9,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_9\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_medium_po,selected_candidate,,results_candidate\r28_gated_r27_full_public\tc_public_9\output.blif,results_candidate\r28_gated_r27_full_public\tc_public_9\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_gated_r27_full_public\tc_public_9\work\v5\work\variants\clean\baseline.blif,194,4,224,5,194,4,224,5,0,0,True,5.332645,1.467483,0.923301,21.121,results_candidate\r28_gated_r27_full_public\tc_public_9\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
