case,path,pi_count,po_count,names_count,cube_count,max_fanin,avg_fanin,fanin0_count,fanin1_count,fanin2_count,fanin3_4_count,fanin5p_count,two_input_ratio,cube_per_name,high_fanin_sop,near_two_input_aig,scale_grade,pi_bin,po_bin,names_bin,cubes_bin,outputs_bin,max_fanin_bin,average_fanin_bin,two_input_ratio_bin,level_bin,runtime_size_bin,selected_pipeline,selector_reason,current_final_pipeline
tc_public_26,data\tc_public\tc_public_26\input.blif,33,32,1069,1555,2,1.995,0,5,1064,0,0,0.995,1.455,false,true,medium,pi_small,po_medium,names_medium,cubes_small,po_medium,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_small,runtime_medium,dc2_fast,default,dc2_fast
tc_public_27,data\tc_public\tc_public_27\input.blif,189,16,601,896,2,1.965,0,21,580,0,0,0.965,1.491,false,true,small,pi_medium,po_small,names_small,cubes_small,po_small,fanin_le2,avg_fanin_aigish,two_ratio_high,level_small,runtime_small,dc2_fast,default,dc2_fast
tc_public_28,data\tc_public\tc_public_28\input.blif,51,16,601,896,2,1.965,0,21,580,0,0,0.965,1.491,false,true,small,pi_small,po_small,names_small,cubes_small,po_small,fanin_le2,avg_fanin_aigish,two_ratio_high,level_small,runtime_small,dc2_fast,default,dc2_fast
tc_public_29,data\tc_public\tc_public_29\input.blif,30,16,127,166,2,1.953,0,6,121,0,0,0.953,1.307,false,true,small,pi_small,po_small,names_small,cubes_tiny,po_small,fanin_le2,avg_fanin_aigish,two_ratio_high,level_small,runtime_small,dc2_fast,default,dc2_fast
tc_public_3,data\tc_public\tc_public_3\input.blif,10,8,8,47,10,10.000,0,0,0,0,8,0.000,5.875,true,false,tiny,pi_tiny,po_small,names_tiny,cubes_tiny,po_small,fanin_9p,avg_fanin_high,two_ratio_low,level_small,runtime_tiny,sop_fx,tiny_high_fanin_sop,sop_fx
tc_public_30,data\tc_public\tc_public_30\input.blif,12,12,14151,24182,2,1.999,0,12,14139,0,0,0.999,1.709,false,true,large,pi_tiny,po_small,names_large,cubes_large,po_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_high,runtime_large,high_aig_three_round,large_runtime_aig_high_effort,dc2_fast
tc_public_4,data\tc_public\tc_public_4\input.blif,10,8,8,32,10,10.000,0,0,0,0,8,0.000,4.000,true,false,tiny,pi_tiny,po_small,names_tiny,cubes_tiny,po_small,fanin_9p,avg_fanin_high,two_ratio_low,level_small,runtime_tiny,sop_fx,tiny_high_fanin_sop,sop_fx
tc_public_5,data\tc_public\tc_public_5\input.blif,66,64,128,128,2,2.000,0,0,128,0,0,1.000,1.000,false,true,small,pi_medium,po_medium,names_small,cubes_tiny,po_medium,fanin_le2,avg_fanin_aigish,two_ratio_near_one,level_tiny,runtime_small,dc2_fast,default,dc2_fast
tc_public_6,data\tc_public\tc_public_6\input.blif,67,32,128,224,3,2.500,0,0,64,64,0,0.500,1.750,true,false,small,pi_medium,po_medium,names_small,cubes_small,po_medium,fanin_3_4,avg_fanin_mid,two_ratio_low,level_tiny,runtime_small,sop_fx,tiny_high_fanin_sop,sop_fx
tc_public_7,data\tc_public\tc_public_7\input.blif,130,63,127,191,3,2.504,0,0,63,64,0,0.496,1.504,true,false,small,pi_medium,po_medium,names_small,cubes_tiny,po_medium,fanin_3_4,avg_fanin_mid,two_ratio_low,level_tiny,runtime_small,sop_fx,tiny_high_fanin_sop,sop_fx
tc_public_8,data\tc_public\tc_public_8\input.blif,67,96,129,161,3,2.248,0,0,97,32,0,0.752,1.248,true,false,small,pi_medium,po_medium,names_small,cubes_tiny,po_medium,fanin_3_4,avg_fanin_mid,two_ratio_mid,level_tiny,runtime_small,sop_fx,tiny_high_fanin_sop,sop_fx
tc_public_9,data\tc_public\tc_public_9\input.blif,67,32,96,160,3,2.333,0,0,64,32,0,0.667,1.667,true,false,tiny,pi_medium,po_medium,names_tiny,cubes_tiny,po_medium,fanin_3_4,avg_fanin_mid,two_ratio_mid,level_tiny,runtime_tiny,sop_fx,tiny_high_fanin_sop,sop_fx
