case,input_count,output_count,renamed_port_count,original_input_sample,renamed_input_sample,original_output_sample,renamed_output_sample,output_blif
tc_public_19,512,11,523,n0 n36 n37 n39 n41,r7pi_11_0000_q66r74djzs r7pi_11_0001_zik9rchcx8 r7pi_11_0002_9sxl0z33bd r7pi_11_0003_9k7hf53u8h r7pi_11_0004_d7xj06pzqq,n2586 n3606 n4626 n5646 n6666,r7po_11_0000_dpvev1em6k r7po_11_0001_fv9iicf5u8 r7po_11_0002_03dz7cliiy r7po_11_0003_gh74y3uhr2 r7po_11_0004_fnr8jxbhsu,stress_data\r11s_port_name_stress\cases\tc_public_19\input.blif
tc_public_2,6,5,11,I0 I1 I2 I3 I4,r7pi_12_0000_vx9r4iy37i r7pi_12_0001_6n1ubz8iex r7pi_12_0002_j5at592d62 r7pi_12_0003_zhvgvnn7x3 r7pi_12_0004_ki9k132h6k,O0 O1 O2 O3 O4,r7po_12_0000_x6lwcy4g3c r7po_12_0001_8mfixo9evu r7po_12_0002_mbpc9qfiyy r7po_12_0003_ggtylxxdf7 r7po_12_0004_5mnx38so1f,stress_data\r11s_port_name_stress\cases\tc_public_2\input.blif
tc_public_20,532,11,543,n0 n36 n37 n39 n41,r7pi_13_0000_ylozc19b17 r7pi_13_0001_djmqf9z0f9 r7pi_13_0002_1wlvrbm1vw r7pi_13_0003_t88h348v8v r7pi_13_0004_5dw7f5hfbg,n2686 n3746 n4806 n5866 n6926,r7po_13_0000_qu9grx2t3j r7po_13_0001_htxp5cxjmz r7po_13_0002_i5xrx4ri5y r7po_13_0003_8htb7sk3c3 r7po_13_0004_ty63zf5evq,stress_data\r11s_port_name_stress\cases\tc_public_20\input.blif
tc_public_21,534,11,545,n0 n36 n37 n39 n41,r7pi_14_0000_xvpwua8azj r7pi_14_0001_hmndforr50 r7pi_14_0002_0zhfo9o62h r7pi_14_0003_qcnlfmkrgn r7pi_14_0004_gc27foew1v,n2696 n3760 n4824 n5888 n6952,r7po_14_0000_17hon0efzc r7po_14_0001_y6dn2glv09 r7po_14_0002_rqbgwuaiu2 r7po_14_0003_2uamgx5smv r7po_14_0004_h17tkw9tf8,stress_data\r11s_port_name_stress\cases\tc_public_21\input.blif
tc_public_22,1024,12,1036,n0 n39 n40 n42 n44,r7pi_15_0000_pao6tyi9bk r7pi_15_0001_yohliuxixd r7pi_15_0002_qdeho2xedc r7pi_15_0003_rzqosnyhct r7pi_15_0004_3lr4xuhepf,n5149 n7193 n9237 n11281 n13325,r7po_15_0000_steqzbzb5k r7po_15_0001_hylw3musnq r7po_15_0002_suqyi31wl5 r7po_15_0003_3c3hejkbei r7po_15_0004_8d4vfj7k90,stress_data\r11s_port_name_stress\cases\tc_public_22\input.blif
tc_public_23,520,2,522,n4 n12 n26 n52 n102,r7pi_16_0000_ripbhhf9xd r7pi_16_0001_yymf8di47q r7pi_16_0002_12oudfusz5 r7pi_16_0003_9os42pbr1m r7pi_16_0004_3bxxmuqt3m,n1290 n2057,r7po_16_0000_9eir1g2dsy r7po_16_0001_whgq22hwwf,stress_data\r11s_port_name_stress\cases\tc_public_23\input.blif
tc_public_24,104,9,113,n7 n9 n13 n24 n25,r7pi_17_0000_37qlmfe095 r7pi_17_0001_dndux9yzbn r7pi_17_0002_yiw70mim8w r7pi_17_0003_o2fw3iqy5a r7pi_17_0004_kv12e42f1i,n75 n107 n139 n171 n203,r7po_17_0000_zdmjvbwj6l r7po_17_0001_zai2aafxn0 r7po_17_0002_a9alr2czbt r7po_17_0003_nuqc51uj92 r7po_17_0004_aydh2vh6wh,stress_data\r11s_port_name_stress\cases\tc_public_24\input.blif
tc_public_25,15,9,24,n5 n11 n19 n22 n24,r7pi_18_0000_7rkc6e07ej r7pi_18_0001_dhcva3gnxg r7pi_18_0002_ovmonupsf4 r7pi_18_0003_akmmragei1 r7pi_18_0004_bm8ny4ea4w,n33 n37 n43 n51 n61,r7po_18_0000_skbese6yec r7po_18_0001_6t3oc7zzae r7po_18_0002_58ny4piyuf r7po_18_0003_jlipivsm4u r7po_18_0004_terwrgs8oc,stress_data\r11s_port_name_stress\cases\tc_public_25\input.blif
tc_public_26,33,32,65,n5 n11 n21 n37 n38,r7pi_19_0000_4w4xd8pak2 r7pi_19_0001_qul6uov0g9 r7pi_19_0002_bsz4eijwqp r7pi_19_0003_fay8iew688 r7pi_19_0004_mgrusx9j8p,n71 n75 n81 n89 n99,r7po_19_0000_ezjeayqity r7po_19_0001_x0n2cqu57v r7po_19_0002_bbr44wj436 r7po_19_0003_lb9t2h0yds r7po_19_0004_iib5205ba3,stress_data\r11s_port_name_stress\cases\tc_public_26\input.blif
tc_public_27,189,16,205,n11 n17 n25 n33 n44,r7pi_20_0000_l1p0ibe976 r7pi_20_0001_w1tr9piy91 r7pi_20_0002_s7nzmg5jgu r7pi_20_0003_82jikydc7w r7pi_20_0004_m4ha7t9nf9,n82 n119 n156 n193 n234,r7po_20_0000_9jvsv79a4g r7po_20_0001_l5med38hlp r7po_20_0002_ctauyb7z50 r7po_20_0003_9c97d7z351 r7po_20_0004_vzvbjx1z79,stress_data\r11s_port_name_stress\cases\tc_public_27\input.blif
tc_public_28,51,16,67,n11 n17 n25 n33 n44,r7pi_21_0000_lgh6tg5zvl r7pi_21_0001_nryoivs7ao r7pi_21_0002_xn1yrajowt r7pi_21_0003_wmp6373jri r7pi_21_0004_jwjo4bkl37,n93 n141 n174 n207 n240,r7po_21_0000_z4qnsb7qn8 r7po_21_0001_yk21rjk0nm r7po_21_0002_1semnsakp5 r7po_21_0003_9iroqnttuo r7po_21_0004_fr14q9tyb8,stress_data\r11s_port_name_stress\cases\tc_public_28\input.blif
tc_public_29,30,16,46,n0 n1 n3 n4 n9,r7pi_22_0000_jzdtu7rnd4 r7pi_22_0001_zjjl72abqx r7pi_22_0002_sisvx7vqsh r7pi_22_0003_l102e49ula r7pi_22_0004_gvgaap04n3,n31 n39 n47 n55 n63,r7po_22_0000_r3nnp70piy r7po_22_0001_esmqvmvwcy r7po_22_0002_rfarlk6x5k r7po_22_0003_pqs949ttdb r7po_22_0004_y85ml9sv14,stress_data\r11s_port_name_stress\cases\tc_public_29\input.blif
tc_public_3,10,8,18,I0 I1 I2 I3 I4,r7pi_23_0000_dgr56nt4ij r7pi_23_0001_btbu6m3uoy r7pi_23_0002_7901qebxzz r7pi_23_0003_srkm4pai2h r7pi_23_0004_5z357kcz94,O0 O1 O2 O3 O4,r7po_23_0000_6kwfxxnzij r7po_23_0001_ht7on94ser r7po_23_0002_7qsne51wgi r7po_23_0003_m9oln69lx5 r7po_23_0004_0xyrwm1t7s,stress_data\r11s_port_name_stress\cases\tc_public_3\input.blif
tc_public_30,12,12,24,n9338 n9514 n9858 n9878 n10569,r7pi_24_0000_9lnam93c8c r7pi_24_0001_92lxiq12jj r7pi_24_0002_hi9icm37oz r7pi_24_0003_cp5lzwm80x r7pi_24_0004_eb1mjc224p,n1244 n2715 n3957 n5108 n6198,r7po_24_0000_sn5r8tq7wn r7po_24_0001_aprzvazszk r7po_24_0002_rpok16ybnv r7po_24_0003_zooj1k7xdg r7po_24_0004_f2b1ixebk2,stress_data\r11s_port_name_stress\cases\tc_public_30\input.blif
tc_public_4,10,8,18,I0 I1 I2 I3 I4,r7pi_25_0000_h8zm0ufqhl r7pi_25_0001_9xxk20oe7x r7pi_25_0002_zuf4nubozm r7pi_25_0003_3pdpsoakk8 r7pi_25_0004_ki53eunzxf,O0 O1 O2 O3 O4,r7po_25_0000_qrhis4zt9e r7po_25_0001_0tq5xxakjt r7po_25_0002_vmacifpu18 r7po_25_0003_02qxmxqkrj r7po_25_0004_udyeajttne,stress_data\r11s_port_name_stress\cases\tc_public_4\input.blif
tc_public_5,66,64,130,n0 n1 n3 n131 n132,r7pi_26_0000_xtjgub5qjl r7pi_26_0001_u9jq75ee4y r7pi_26_0002_hddphoedda r7pi_26_0003_2s7fu0man5 r7pi_26_0004_bpyn910tdo,n4 n6 n8 n10 n12,r7po_26_0000_e3ih9jnw89 r7po_26_0001_bmzsrtgrhg r7po_26_0002_n0bksvwf9v r7po_26_0003_kiccznz4c5 r7po_26_0004_i0le9hlrxr,stress_data\r11s_port_name_stress\cases\tc_public_5\input.blif
tc_public_6,67,32,99,n1 n4 n5 n6 n7,r7pi_27_0000_mph1jfbghw r7pi_27_0001_x99dja8ft0 r7pi_27_0002_hmov92aw0d r7pi_27_0003_hmz7s1tq7q r7pi_27_0004_vbgbwvc09m,n8 n11 n14 n17 n20,r7po_27_0000_12l8wy5pzg r7po_27_0001_ik4izyn65d r7po_27_0002_w702c0x38n r7po_27_0003_2foztt3aib r7po_27_0004_1kjf1b4fqg,stress_data\r11s_port_name_stress\cases\tc_public_6\input.blif
tc_public_7,130,63,193,n0 n1 n2 n4 n130,r7pi_28_0000_zhdjkle50y r7pi_28_0001_nxxyd2nv31 r7pi_28_0002_fwlulzm5l3 r7pi_28_0003_dq1bbah3q0 r7pi_28_0004_cj7qdh1fh7,n5 n7 n9 n11 n13,r7po_28_0000_0xl80s5wol r7po_28_0001_12r0h9qq5o r7po_28_0002_5jhohvtow9 r7po_28_0003_awsiec4wmh r7po_28_0004_h0gykmmf9f,stress_data\r11s_port_name_stress\cases\tc_public_7\input.blif
tc_public_8,67,96,163,n0 n1 n6 n7 n8,r7pi_29_0000_1wjk33t6u8 r7pi_29_0001_687krdptoc r7pi_29_0002_a6ved35aa9 r7pi_29_0003_cwgps6dbvi r7pi_29_0004_mji5svynl7,n4 n5 n9 n11 n13,r7po_29_0000_05rkhqwdae r7po_29_0001_3o4spuvaw9 r7po_29_0002_la47kco01v r7po_29_0003_o0xt62rv6r r7po_29_0004_rjqvcj2e4q,stress_data\r11s_port_name_stress\cases\tc_public_8\input.blif
tc_public_9,67,32,99,n0 n3 n4 n5 n6,r7pi_30_0000_9tbxqg9077 r7pi_30_0001_m5rac0uckd r7pi_30_0002_73qh9hggg2 r7pi_30_0003_9xq16gagke r7pi_30_0004_vu2ogg0xwe,n7 n9 n11 n13 n15,r7po_30_0000_uhf7946hpf r7po_30_0001_s8sbmx47lt r7po_30_0002_5swifa9pjz r7po_30_0003_9p033pxrrb r7po_30_0004_hrunz3sws0,stress_data\r11s_port_name_stress\cases\tc_public_9\input.blif
