case,mode,input_count,output_count,input_order_changed,output_order_changed,original_input_sample,shuffled_input_sample,original_output_sample,shuffled_output_sample,output_blif
tc_public_27,inputs,189,16,True,False,n11 n17 n25 n33 n44 n57 n59 n61,n338 n478 n295 n358 n44 n460 n17 n646,n82 n119 n156 n193 n234 n275 n316 n357,n82 n119 n156 n193 n234 n275 n316 n357,data\tc_public_portorder_inputs_r7b_stress\tc_public_27\input.blif
tc_public_28,inputs,51,16,True,False,n11 n17 n25 n33 n44 n46 n48 n50,n106 n68 n58 n104 n72 n33 n46 n124,n93 n141 n174 n207 n240 n273 n306 n339,n93 n141 n174 n207 n240 n273 n306 n339,data\tc_public_portorder_inputs_r7b_stress\tc_public_28\input.blif
tc_public_29,inputs,30,16,True,False,n0 n1 n3 n4 n9 n14 n16 n22,n34 n114 n130 n14 n32 n4 n122 n66,n31 n39 n47 n55 n63 n71 n76 n81,n31 n39 n47 n55 n63 n71 n76 n81,data\tc_public_portorder_inputs_r7b_stress\tc_public_29\input.blif
tc_public_3,inputs,10,8,True,False,I0 I1 I2 I3 I4 I5 I6 I7,I3 I9 I8 I0 I5 I2 I6 I4,O0 O1 O2 O3 O4 O5 O6 O7,O0 O1 O2 O3 O4 O5 O6 O7,data\tc_public_portorder_inputs_r7b_stress\tc_public_3\input.blif
tc_public_30,inputs,12,12,True,False,n9338 n9514 n9858 n9878 n10569 n11083 n11086 n11089,n11130 n11083 n11086 n11107 n9338 n11173 n9514 n11089,n1244 n2715 n3957 n5108 n6198 n7257 n8303 n9336,n1244 n2715 n3957 n5108 n6198 n7257 n8303 n9336,data\tc_public_portorder_inputs_r7b_stress\tc_public_30\input.blif
tc_public_4,inputs,10,8,True,False,I0 I1 I2 I3 I4 I5 I6 I7,I8 I1 I5 I9 I0 I4 I3 I6,O0 O1 O2 O3 O4 O5 O6 O7,O0 O1 O2 O3 O4 O5 O6 O7,data\tc_public_portorder_inputs_r7b_stress\tc_public_4\input.blif
tc_public_5,inputs,66,64,True,False,n0 n1 n3 n131 n132 n133 n134 n135,n176 n134 n180 n162 n183 n173 n174 n150,n4 n6 n8 n10 n12 n14 n16 n18,n4 n6 n8 n10 n12 n14 n16 n18,data\tc_public_portorder_inputs_r7b_stress\tc_public_5\input.blif
tc_public_6,inputs,67,32,True,False,n1 n4 n5 n6 n7 n133 n134 n135,n161 n154 n193 n176 n152 n186 n146 n158,n8 n11 n14 n17 n20 n23 n26 n29,n8 n11 n14 n17 n20 n23 n26 n29,data\tc_public_portorder_inputs_r7b_stress\tc_public_6\input.blif
tc_public_7,inputs,130,63,True,False,n0 n1 n2 n4 n130 n131 n132 n133,n177 n204 n197 n235 n211 n160 n194 n143,n5 n7 n9 n11 n13 n15 n17 n19,n5 n7 n9 n11 n13 n15 n17 n19,data\tc_public_portorder_inputs_r7b_stress\tc_public_7\input.blif
tc_public_8,inputs,67,96,True,False,n0 n1 n6 n7 n8 n134 n135 n136,n189 n183 n181 n188 n159 n160 n149 n173,n4 n5 n9 n11 n13 n15 n17 n19,n4 n5 n9 n11 n13 n15 n17 n19,data\tc_public_portorder_inputs_r7b_stress\tc_public_8\input.blif
tc_public_9,inputs,67,32,True,False,n0 n3 n4 n5 n6 n101 n102 n103,n153 n154 n131 n107 n149 n150 n110 n104,n7 n9 n11 n13 n15 n17 n19 n21,n7 n9 n11 n13 n15 n17 n19 n21,data\tc_public_portorder_inputs_r7b_stress\tc_public_9\input.blif
