case,path,pi_count,po_count,names_count,cube_count,max_fanin,avg_fanin,fanin0_count,fanin1_count,fanin2_count,fanin3_4_count,fanin5p_count,two_input_ratio,cube_per_name,high_fanin_sop,near_two_input_aig,scale_grade,pi_bin,po_bin,outputs_bin,names_bin,cubes_bin,max_fanin_bin,average_fanin_bin,two_input_ratio_bin,runtime_size_bin
case_gbqic6mlha,data\tc_public_rand_r7b_stress\case_gbqic6mlha\input.blif,16,6,180,202,2,1.517,0,87,93,0,0,0.517,1.122,false,false,small,pi_small,po_tiny,po_tiny,names_small,cubes_small,fanin_le2,avg_fanin_low,two_ratio_low,runtime_small
case_hl7p0063rn,data\tc_public_rand_r7b_stress\case_hl7p0063rn\input.blif,10,8,8,76,10,10.000,0,0,0,0,8,0.000,9.500,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny
case_i6qsqduet7,data\tc_public_rand_r7b_stress\case_i6qsqduet7\input.blif,10,8,8,32,10,10.000,0,0,0,0,8,0.000,4.000,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny
case_j0eqkgp8lf,data\tc_public_rand_r7b_stress\case_j0eqkgp8lf\input.blif,36,32,128,192,2,2.000,0,0,128,0,0,1.000,1.500,false,true,small,pi_small,po_medium,po_medium,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_small
case_j7dnjet36a,data\tc_public_rand_r7b_stress\case_j7dnjet36a\input.blif,335,20,576,1340,4,2.186,0,12,503,61,0,0.873,2.326,false,false,small,pi_large,po_small,po_small,names_small,cubes_small,fanin_3_4,avg_fanin_mid,two_ratio_high,runtime_small
case_knyww3m7ta,data\tc_public_rand_r7b_stress\case_knyww3m7ta\input.blif,15,9,107,143,2,1.944,0,6,101,0,0,0.944,1.336,false,true,small,pi_tiny,po_small,po_small,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small
case_o1v95jw2yn,data\tc_public_rand_r7b_stress\case_o1v95jw2yn\input.blif,51,16,601,896,2,1.965,0,21,580,0,0,0.965,1.491,false,true,small,pi_small,po_small,po_small,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small
case_ofbkzi81pj,data\tc_public_rand_r7b_stress\case_ofbkzi81pj\input.blif,1024,12,24566,36841,2,2.000,2,0,24564,0,0,1.000,1.500,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large
case_plzua5wike,data\tc_public_rand_r7b_stress\case_plzua5wike\input.blif,31,32,936,1368,2,1.995,0,5,931,0,0,0.995,1.462,false,true,small,pi_small,po_medium,po_medium,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_small
case_pu0lm11810,data\tc_public_rand_r7b_stress\case_pu0lm11810\input.blif,67,32,96,160,3,2.333,0,0,64,32,0,0.667,1.667,true,false,tiny,pi_medium,po_medium,po_medium,names_tiny,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_mid,runtime_tiny
case_pyg3694elp,data\tc_public_rand_r7b_stress\case_pyg3694elp\input.blif,189,16,601,896,2,1.965,0,21,580,0,0,0.965,1.491,false,true,small,pi_medium,po_small,po_small,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small
case_q85mtt9qhs,data\tc_public_rand_r7b_stress\case_q85mtt9qhs\input.blif,928,77,6567,8325,2,1.973,0,179,6388,0,0,0.973,1.268,false,true,large,pi_large,po_medium,po_medium,names_large,cubes_medium,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_large
case_qo1zilrin4,data\tc_public_rand_r7b_stress\case_qo1zilrin4\input.blif,104,9,228,318,2,1.978,0,5,223,0,0,0.978,1.395,false,true,small,pi_medium,po_small,po_small,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_small
case_scefuc0ca6,data\tc_public_rand_r7b_stress\case_scefuc0ca6\input.blif,67,32,128,224,3,2.500,0,0,64,64,0,0.500,1.750,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_small,fanin_3_4,avg_fanin_mid,two_ratio_low,runtime_small
case_tofysbdmu2,data\tc_public_rand_r7b_stress\case_tofysbdmu2\input.blif,534,11,11739,17601,2,2.000,2,0,11737,0,0,1.000,1.499,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large
case_tylrj06i68,data\tc_public_rand_r7b_stress\case_tylrj06i68\input.blif,10,8,8,47,10,10.000,0,0,0,0,8,0.000,5.875,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny
case_u9m9kzukyx,data\tc_public_rand_r7b_stress\case_u9m9kzukyx\input.blif,66,64,128,128,2,2.000,0,0,128,0,0,1.000,1.000,false,true,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_small
case_udxahl2zm5,data\tc_public_rand_r7b_stress\case_udxahl2zm5\input.blif,30,16,127,166,2,1.953,0,6,121,0,0,0.953,1.307,false,true,small,pi_small,po_small,po_small,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small
case_unko4bybxf,data\tc_public_rand_r7b_stress\case_unko4bybxf\input.blif,64,8,1018,1521,2,1.996,2,0,1016,0,0,0.998,1.494,false,true,medium,pi_medium,po_small,po_small,names_medium,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_medium
case_y7gkf9k8m4,data\tc_public_rand_r7b_stress\case_y7gkf9k8m4\input.blif,520,2,1538,2048,2,1.995,0,8,1530,0,0,0.995,1.332,false,true,medium,pi_large,po_tiny,po_tiny,names_medium,cubes_medium,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_medium
