case,path,pi_count,po_count,names_count,cube_count,max_fanin,avg_fanin,fanin0_count,fanin1_count,fanin2_count,fanin3_4_count,fanin5p_count,two_input_ratio,cube_per_name,high_fanin_sop,near_two_input_aig,scale_grade,pi_bin,po_bin,outputs_bin,names_bin,cubes_bin,max_fanin_bin,average_fanin_bin,two_input_ratio_bin,runtime_size_bin,r7b_eligible,r7b_skip_reason,r7b_cluster_potential_score,r7b_high_overlap_pairs,r7b_clusters_seen,r7b_num_eligible_clusters,r7b_largest_cluster_size,r7b_max_shared_nodes,r7b_max_containment,r7b_max_jaccard,r7b_before_nodes,r7b_before_levels,r7b_profile_returncode,r7b_profile_timeout,r7b_profile_runtime_sec,r7b_profile_log
tc_public_20,data\tc_public\tc_public_20\input.blif,532,11,11695,17535,2,2.000,2,0,11693,0,0,1.000,1.499,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large,false,no_high_overlap_pair,15.563228,0,0,0,1,57,0.090047,0.047146,5742,20,0,false,0.146722,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_20\logs\r7b_profile.log
tc_public_21,data\tc_public\tc_public_21\input.blif,534,11,11739,17601,2,2.000,2,0,11737,0,0,1.000,1.499,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large,false,no_high_overlap_pair,15.570385,0,0,0,1,57,0.089623,0.046914,5763,20,0,false,0.171590,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_21\logs\r7b_profile.log
tc_public_22,data\tc_public\tc_public_22\input.blif,1024,12,24566,36841,2,2.000,2,0,24564,0,0,1.000,1.500,false,true,large,pi_large,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large,false,no_high_overlap_pair,16.138289,0,0,0,1,96,0.081841,0.042667,11367,20,0,false,0.219017,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_22\logs\r7b_profile.log
tc_public_23,data\tc_public\tc_public_23\input.blif,520,2,1538,2048,2,1.995,0,8,1530,0,0,0.995,1.332,false,true,medium,pi_large,po_tiny,po_tiny,names_medium,cubes_medium,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_medium,false,cluster_potential_lt_70,50.046844,1,1,0,2,508,0.498528,0.332026,1530,263,0,false,0.118608,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_23\logs\r7b_profile.log
tc_public_24,data\tc_public\tc_public_24\input.blif,104,9,228,318,2,1.978,0,5,223,0,0,0.978,1.395,false,true,small,pi_medium,po_small,po_small,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_very_high,runtime_small,false,cluster_potential_lt_70,60.641293,36,1,0,9,34,0.618182,0.447368,223,15,0,false,0.111096,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_24\logs\r7b_profile.log
tc_public_25,data\tc_public\tc_public_25\input.blif,15,9,107,143,2,1.944,0,6,101,0,0,0.944,1.336,false,true,small,pi_tiny,po_small,po_small,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small,false,cluster_potential_lt_70,62.371454,1,1,0,2,16,0.833333,0.500000,101,14,0,false,0.112196,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_25\logs\r7b_profile.log
tc_public_26,data\tc_public\tc_public_26\input.blif,33,32,1069,1555,2,1.995,0,5,1064,0,0,0.995,1.455,false,true,medium,pi_small,po_medium,po_medium,names_medium,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_medium,false,cluster_potential_lt_70,69.875585,217,1,0,24,53,0.800000,0.444444,1064,32,0,false,0.111179,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_26\logs\r7b_profile.log
tc_public_27,data\tc_public\tc_public_27\input.blif,189,16,601,896,2,1.965,0,21,580,0,0,0.965,1.491,false,true,small,pi_medium,po_small,po_small,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small,false,cluster_potential_lt_70,65.700218,120,1,0,16,64,0.666667,0.500000,576,20,0,false,0.123943,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_27\logs\r7b_profile.log
tc_public_28,data\tc_public\tc_public_28\input.blif,51,16,601,896,2,1.965,0,21,580,0,0,0.965,1.491,false,true,small,pi_small,po_small,po_small,names_small,cubes_small,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small,false,cluster_potential_lt_70,65.700218,120,1,0,16,64,0.666667,0.500000,576,20,0,false,0.131719,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_28\logs\r7b_profile.log
tc_public_29,data\tc_public\tc_public_29\input.blif,30,16,127,166,2,1.953,0,6,121,0,0,0.953,1.307,false,true,small,pi_small,po_small,po_small,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_high,runtime_small,false,no_high_overlap_pair,49.273598,0,0,0,1,11,0.615385,0.440000,121,8,0,false,0.122614,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_29\logs\r7b_profile.log
tc_public_3,data\tc_public\tc_public_3\input.blif,10,8,8,47,10,10.000,0,0,0,0,8,0.000,5.875,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny,false,no_high_overlap_pair,18.756781,0,0,0,1,6,0.250000,0.093750,208,13,0,false,0.175966,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_3\logs\r7b_profile.log
tc_public_30,data\tc_public\tc_public_30\input.blif,12,12,14151,24182,2,1.999,0,12,14139,0,0,0.999,1.709,false,true,large,pi_tiny,po_small,po_small,names_large,cubes_large,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_large,false,cluster_potential_lt_70,65.196098,27,1,0,11,2227,0.630190,0.406684,14139,1036,0,false,0.362036,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_30\logs\r7b_profile.log
tc_public_4,data\tc_public\tc_public_4\input.blif,10,8,8,32,10,10.000,0,0,0,0,8,0.000,4.000,true,false,tiny,pi_tiny,po_small,po_small,names_tiny,cubes_tiny,fanin_9p,avg_fanin_high,two_ratio_low,runtime_tiny,false,cluster_potential_lt_70,47.068935,1,1,0,2,18,0.857143,0.720000,145,12,0,false,0.195203,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_4\logs\r7b_profile.log
tc_public_5,data\tc_public\tc_public_5\input.blif,66,64,128,128,2,2.000,0,0,128,0,0,1.000,1.000,false,true,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_le2,avg_fanin_aigish,two_ratio_near_one,runtime_small,false,no_high_overlap_pair,1.250000,0,0,0,1,0,0.000000,0.000000,128,2,0,false,0.118030,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_5\logs\r7b_profile.log
tc_public_6,data\tc_public\tc_public_6\input.blif,67,32,128,224,3,2.500,0,0,64,64,0,0.500,1.750,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_small,fanin_3_4,avg_fanin_mid,two_ratio_low,runtime_small,false,no_high_overlap_pair,1.250000,0,0,0,1,0,0.000000,0.000000,256,5,0,false,0.175145,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_6\logs\r7b_profile.log
tc_public_7,data\tc_public\tc_public_7\input.blif,130,63,127,191,3,2.504,0,0,63,64,0,0.496,1.504,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_low,runtime_small,false,no_high_overlap_pair,1.250000,0,0,0,1,0,0.000000,0.000000,252,3,0,false,0.176430,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_7\logs\r7b_profile.log
tc_public_8,data\tc_public\tc_public_8\input.blif,67,96,129,161,3,2.248,0,0,97,32,0,0.752,1.248,true,false,small,pi_medium,po_medium,po_medium,names_small,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_mid,runtime_small,false,no_high_overlap_pair,57.500000,0,0,0,1,3,0.750000,0.600000,193,3,0,false,0.189130,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_8\logs\r7b_profile.log
tc_public_9,data\tc_public\tc_public_9\input.blif,67,32,96,160,3,2.333,0,0,64,32,0,0.667,1.667,true,false,tiny,pi_medium,po_medium,po_medium,names_tiny,cubes_tiny,fanin_3_4,avg_fanin_mid,two_ratio_mid,runtime_tiny,false,no_high_overlap_pair,1.250000,0,0,0,1,0,0.000000,0.000000,224,5,0,false,0.217296,results_candidate\r7b_rerun_20260622\feature_profile\tc_public_9\logs\r7b_profile.log
