case,mode,input_count,output_count,input_order_changed,output_order_changed,original_input_sample,shuffled_input_sample,original_output_sample,shuffled_output_sample,output_blif
tc_public_19,outputs,512,11,False,True,n0 n36 n37 n39 n41 n43 n45 n47,n0 n36 n37 n39 n41 n43 n45 n47,n2586 n3606 n4626 n5646 n6666 n7686 n8706 n9726,n2586 n3606 n11766 n10746 n8706 n4626 n9726 n5646,data\tc_public_portorder_outputs_r7b_stress\tc_public_19\input.blif
tc_public_2,outputs,6,5,False,True,I0 I1 I2 I3 I4 I5,I0 I1 I2 I3 I4 I5,O0 O1 O2 O3 O4,O3 O4 O0 O1 O2,data\tc_public_portorder_outputs_r7b_stress\tc_public_2\input.blif
tc_public_20,outputs,532,11,False,True,n0 n36 n37 n39 n41 n43 n45 n47,n0 n36 n37 n39 n41 n43 n45 n47,n2686 n3746 n4806 n5866 n6926 n7986 n9046 n10106,n11166 n4806 n9046 n10106 n6926 n2686 n5866 n12226,data\tc_public_portorder_outputs_r7b_stress\tc_public_20\input.blif
tc_public_21,outputs,534,11,False,True,n0 n36 n37 n39 n41 n43 n45 n47,n0 n36 n37 n39 n41 n43 n45 n47,n2696 n3760 n4824 n5888 n6952 n8016 n9080 n10144,n10144 n8016 n11208 n2696 n5888 n11740 n6952 n4824,data\tc_public_portorder_outputs_r7b_stress\tc_public_21\input.blif
tc_public_22,outputs,1024,12,False,True,n0 n39 n40 n42 n44 n46 n48 n50,n0 n39 n40 n42 n44 n46 n48 n50,n5149 n7193 n9237 n11281 n13325 n15369 n17413 n19457,n5149 n13325 n9237 n24567 n23545 n7193 n25589 n21501,data\tc_public_portorder_outputs_r7b_stress\tc_public_22\input.blif
tc_public_23,outputs,520,2,False,True,n4 n12 n26 n52 n102 n200 n264 n394,n4 n12 n26 n52 n102 n200 n264 n394,n1290 n2057,n2057 n1290,data\tc_public_portorder_outputs_r7b_stress\tc_public_23\input.blif
tc_public_24,outputs,104,9,False,True,n7 n9 n13 n24 n25 n44 n46 n48,n7 n9 n13 n24 n25 n44 n46 n48,n75 n107 n139 n171 n203 n235 n267 n299,n171 n235 n267 n107 n75 n203 n139 n299,data\tc_public_portorder_outputs_r7b_stress\tc_public_24\input.blif
tc_public_25,outputs,15,9,False,True,n5 n11 n19 n22 n24 n26 n32 n34,n5 n11 n19 n22 n24 n26 n32 n34,n33 n37 n43 n51 n61 n73 n87 n103,n87 n51 n73 n121 n103 n33 n43 n37,data\tc_public_portorder_outputs_r7b_stress\tc_public_25\input.blif
tc_public_26,outputs,33,32,False,True,n5 n11 n21 n37 n38 n70 n72 n76,n5 n11 n21 n37 n38 n70 n72 n76,n71 n75 n81 n89 n99 n111 n125 n141,n225 n75 n201 n991 n936 n449 n71 n531,data\tc_public_portorder_outputs_r7b_stress\tc_public_26\input.blif
tc_public_27,outputs,189,16,False,True,n11 n17 n25 n33 n44 n57 n59 n61,n11 n17 n25 n33 n44 n57 n59 n61,n82 n119 n156 n193 n234 n275 n316 n357,n156 n119 n193 n453 n316 n275 n693 n597,data\tc_public_portorder_outputs_r7b_stress\tc_public_27\input.blif
tc_public_28,outputs,51,16,False,True,n11 n17 n25 n33 n44 n46 n48 n50,n11 n17 n25 n33 n44 n46 n48 n50,n93 n141 n174 n207 n240 n273 n306 n339,n339 n537 n174 n306 n240 n273 n405 n471,data\tc_public_portorder_outputs_r7b_stress\tc_public_28\input.blif
tc_public_29,outputs,30,16,False,True,n0 n1 n3 n4 n9 n14 n16 n22,n0 n1 n3 n4 n9 n14 n16 n22,n31 n39 n47 n55 n63 n71 n76 n81,n55 n76 n110 n31 n71 n156 n47 n81,data\tc_public_portorder_outputs_r7b_stress\tc_public_29\input.blif
tc_public_3,outputs,10,8,False,True,I0 I1 I2 I3 I4 I5 I6 I7,I0 I1 I2 I3 I4 I5 I6 I7,O0 O1 O2 O3 O4 O5 O6 O7,O3 O1 O6 O4 O5 O2 O0 O7,data\tc_public_portorder_outputs_r7b_stress\tc_public_3\input.blif
tc_public_30,outputs,12,12,False,True,n9338 n9514 n9858 n9878 n10569 n11083 n11086 n11089,n9338 n9514 n9858 n9878 n10569 n11083 n11086 n11089,n1244 n2715 n3957 n5108 n6198 n7257 n8303 n9336,n13307 n7257 n8303 n12623 n1244 n14162 n2715 n9336,data\tc_public_portorder_outputs_r7b_stress\tc_public_30\input.blif
tc_public_4,outputs,10,8,False,True,I0 I1 I2 I3 I4 I5 I6 I7,I0 I1 I2 I3 I4 I5 I6 I7,O0 O1 O2 O3 O4 O5 O6 O7,O6 O0 O2 O4 O3 O5 O1 O7,data\tc_public_portorder_outputs_r7b_stress\tc_public_4\input.blif
tc_public_5,outputs,66,64,False,True,n0 n1 n3 n131 n132 n133 n134 n135,n0 n1 n3 n131 n132 n133 n134 n135,n4 n6 n8 n10 n12 n14 n16 n18,n94 n76 n114 n96 n60 n64 n48 n10,data\tc_public_portorder_outputs_r7b_stress\tc_public_5\input.blif
tc_public_6,outputs,67,32,False,True,n1 n4 n5 n6 n7 n133 n134 n135,n1 n4 n5 n6 n7 n133 n134 n135,n8 n11 n14 n17 n20 n23 n26 n29,n59 n41 n98 n20 n56 n95 n35 n50,data\tc_public_portorder_outputs_r7b_stress\tc_public_6\input.blif
tc_public_7,outputs,130,63,False,True,n0 n1 n2 n4 n130 n131 n132 n133,n0 n1 n2 n4 n130 n131 n132 n133,n5 n7 n9 n11 n13 n15 n17 n19,n97 n107 n21 n87 n17 n5 n33 n73,data\tc_public_portorder_outputs_r7b_stress\tc_public_7\input.blif
tc_public_8,outputs,67,96,False,True,n0 n1 n6 n7 n8 n134 n135 n136,n0 n1 n6 n7 n8 n134 n135 n136,n4 n5 n9 n11 n13 n15 n17 n19,n53 n78 n80 n85 n107 n31 n27 n98,data\tc_public_portorder_outputs_r7b_stress\tc_public_8\input.blif
tc_public_9,outputs,67,32,False,True,n0 n3 n4 n5 n6 n101 n102 n103,n0 n3 n4 n5 n6 n101 n102 n103,n7 n9 n11 n13 n15 n17 n19 n21,n67 n15 n37 n51 n63 n27 n45 n53,data\tc_public_portorder_outputs_r7b_stress\tc_public_9\input.blif
